.\Prefabs\Coin\coin1.png | (74,72)-> (76,72)
.\Room\4_Exhinition room\UI\c1_r4_light_2_mini.png | (178,143)-> (180,144)
.\Room\4_Exhinition room\UI\c1_r4_light_3_mini.png | (202,131)-> (204,132)
.\Room\4_Exhinition room\UI\c1_r4_picture_1_mini.png | (169,136)-> (172,136)
.\Room\4_Exhinition room\UI\c1_r4_picture_2_mini.png | (156,150)-> (156,152)
.\Room\4_Exhinition room\UI\c1_r4_picture_3_mini.png | (203,118)-> (204,120)
.\Room\4_Exhinition room\UI\c1_r4_plant_1_mini.png | (190,147)-> (192,148)
.\Room\4_Exhinition room\UI\c1_r4_plant_2_mini.png | (154,167)-> (156,168)
.\Room\4_Exhinition room\UI\c1_r4_plant_3_mini.png | (191,139)-> (192,140)
.\Room\4_Exhinition room\UI\c1_r4_posters_1_mini.png | (122,180)-> (124,180)
.\Room\4_Exhinition room\UI\c1_r4_posters_2_mini.png | (122,180)-> (124,180)
.\Room\4_Exhinition room\UI\c1_r4_posters_3_mini.png | (122,180)-> (124,180)
.\Room\4_Exhinition room\UI\c1_r4_sculpture_1_mini.png | (84,191)-> (84,192)
.\Room\4_Exhinition room\UI\c1_r4_sculpture_2_mini.png | (53,188)-> (56,188)
.\Room\4_Exhinition room\UI\c1_r4_smallmodel_1_mini.png | (150,114)-> (152,116)
.\Room\4_Exhinition room\UI\c1_r4_smallmodel_2_mini.png | (186,107)-> (188,108)
.\Room\4_Exhinition room\UI\c1_r4_smallmodel_3_mini.png | (201,85)-> (204,88)
.\Room\4_Exhinition room\UI\c1_r4_stairs_1_mini.png | (187,169)-> (188,172)
.\Room\4_Exhinition room\UI\c1_r4_stairs_2_mini.png | (189,168)-> (192,168)
.\Room\4_Exhinition room\UI\c1_r4_stairs_3_mini.png | (187,166)-> (188,168)
.\Room\4_Exhinition room\UI\c1_r4_stool_1_mini.png | (193,94)-> (196,96)
.\Room\4_Exhinition room\UI\c1_r4_stool_2_mini.png | (199,102)-> (200,104)
.\Room\4_Exhinition room\UI\c1_r4_stool_3_mini.png | (194,102)-> (196,104)
.\Room\4_Exhinition room\UI\c1_r4_top_1_mini.png | (207,95)-> (208,96)
.\Room\4_Exhinition room\UI\c1_r4_top_2_mini.png | (207,95)-> (208,96)
.\Room\4_Exhinition room\UI\c1_r4_top_3_mini.png | (207,95)-> (208,96)
.\Room\4_Exhinition room\UI\c1_r4_trophy_2_mini.png | (136,185)-> (136,188)
.\Room\4_Exhinition room\UI\c1_r4_trophy_3_mini.png | (151,190)-> (152,192)
.\Room\4_Exhinition room\UI\c1_r4_wall_1_mini.png | (189,149)-> (192,152)
.\Room\4_Exhinition room\UI\c1_r4_wall_2_mini.png | (189,149)-> (192,152)
.\Room\4_Exhinition room\UI\c1_r4_wall_3_mini.png | (189,149)-> (192,152)
.\Room\4_Exhinition room\UI\c1_r4_window_1_mini.png | (52,197)-> (52,200)
.\Room\4_Exhinition room\UI\c1_r4_window_2_mini.png | (52,197)-> (52,200)
.\Room\4_Exhinition room\UI\c1_r4_window_3_mini.png | (53,197)-> (56,200)
.\Room\5_Work Place\UI\c1_r5_book_1_mini.png | (197,84)-> (200,84)
.\Room\5_Work Place\UI\c1_r5_book_2_mini.png | (197,83)-> (200,84)
.\Room\5_Work Place\UI\c1_r5_book_3_mini.png | (197,83)-> (200,84)
.\Room\5_Work Place\UI\c1_r5_book_icon.png | (113,113)-> (116,116)
.\Room\5_Work Place\UI\c1_r5_cabinet_1_mini.png | (193,181)-> (196,184)
.\Room\5_Work Place\UI\c1_r5_cabinet_2_mini.png | (193,181)-> (196,184)
